Gene name	Synonym	Accession number	Functional category	Description
mtrA	<I>Rv3246c</I>	Rv3246c	9	TWO COMPONENT SENSORY TRANSDUCTION TRANSCRIPTIONAL REGULATORY PROTEIN MTRA
mtrB	<I>Rv3245c</I>	Rv3245c	9	TWO COMPONENT SENSORY TRANSDUCTION HISTIDINE KINASE MTRB
nadR	<I>nadI</I>, <I>Rv0212c</I>	Rv0212c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN NADR (PROBABLY ASNC-FAMILY)
narL	<I>Rv0844c</I>	Rv0844c	9	POSSIBLE NITRATE/NITRITE RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN NARL
nmtR	<I>Rv3744</I>	Rv3744	9	Metal sensor transcriptional regulator (ARSR-SMTB FAMILY)
oxyS	<I>Rv0117</I>	Rv0117	9	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS
phoP	<I>Rv0757</I>	Rv0757	9	POSSIBLE TWO COMPONENT SYSTEM RESPONSE TRANSCRIPTIONAL POSITIVE REGULATOR PHOP
phoR	<I>Rv0758</I>	Rv0758	9	POSSIBLE TWO COMPONENT SYSTEM RESPONSE SENSOR KINASE MEMBRANE ASSOCIATED PHOR
pknA	<I>Rv0015c</I>	Rv0015c	9	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A)
pknB	<I>Rv0014c</I>	Rv0014c	9	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B)
pknD	<I>mbk</I>, <I>Rv0931c</I>	Rv0931c	9	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE D PKND (PROTEIN KINASE D) (STPK D)
pknE	<I>Rv1743</I>	Rv1743	9	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE E PKNE (PROTEIN KINASE E) (STPK E)
pknF	<I>Rv1746</I>	Rv1746	9	ANCHORED-MEMBRANE SERINE/THREONINE-PROTEIN KINASE PKNF (PROTEIN KINASE F) (STPK F)
pknG	<I>Rv0410c</I>	Rv0410c	9	SERINE/THREONINE-PROTEIN KINASE PKNG (PROTEIN KINASE G) (STPK G)
pknH	<I>Rv1266c</I>	Rv1266c	9	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE H PKNH (PROTEIN KINASE H) (STPK H)
pknI	<I>Rv2914c</I>	Rv2914c	9	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE I PKNI (PROTEIN KINASE I) (STPK I) (PHOSPHORYLASE B KINASE KINASE) (HYDROXYALKYL-PROTEIN KINASE)
pknJ	<I>Rv2088</I>	Rv2088	9	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE J PKNJ (PROTEIN KINASE J) (STPK J)
pknK	<I>Rv3080c</I>	Rv3080c	9	PROBABLE SERINE/THREONINE-PROTEIN KINASE TRANSCRIPTIONAL REGULATORY PROTEIN PKNK (PROTEIN KINASE K) (STPK K)
pknL	<I>Rv2176</I>	Rv2176	9	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE L PKNL (PROTEIN KINASE L) (STPK L)
prrA	<I>Rv0903c</I>	Rv0903c	9	TWO COMPONENT RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN PRRA
prrB	<I>Rv0902c</I>	Rv0902c	9	TWO COMPONENT SENSOR HISTIDINE KINASE PRRB
pstP	<I>Rv0018c</I>	Rv0018c	9	PHOSPHOSERINE/THREONINE PHOSPHATASE PSTP
ptbB	<I>MPtpB</I>, <I>Rv0153c</I>	Rv0153c	9	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase)
ptpA	<I>MPtpA</I>, <I>Rv2234</I>	Rv2234	9	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPA (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) (LMW PHOSPHATASE)
pyrR	<I>Rv1379</I>	Rv1379	9	PROBABLE PYRIMIDINE OPERON REGULATORY PROTEIN PYRR
regX3	<I>Rv0491</I>	Rv0491	9	TWO COMPONENT SENSORY TRANSDUCTION PROTEIN REGX3 (TRANSCRIPTIONAL REGULATORY PROTEIN) (PROBABLY LUXR-FAMILY)
rraA	<I>menG</I>, <I>Rv3853</I>	Rv3853	9	Regulator of RNase E activity A RraA
Rv0023		Rv0023	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0042c		Rv0042c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY)
Rv0043c		Rv0043c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)
Rv0067c		Rv0067c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)
Rv0078		Rv0078	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0081		Rv0081	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0135c		Rv0135c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0144		Rv0144	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)
Rv0158		Rv0158	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)
Rv0165c		Rv0165c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)
Rv0195		Rv0195	9	POSSIBLE TWO COMPONENT TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR-FAMILY)
Rv0196		Rv0196	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0232		Rv0232	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR/ACRR-FAMILY)
Rv0238		Rv0238	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv0260c		Rv0260c	9	POSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0273c		Rv0273c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0275c		Rv0275c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)
Rv0302		Rv0302	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR/ACRR-FAMILY)
Rv0324		Rv0324	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY ARSR-FAMILY)
Rv0328		Rv0328	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR/ACRR-FAMILY)
Rv0339c		Rv0339c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0348		Rv0348	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0377		Rv0377	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LYSR-FAMILY)
Rv0386		Rv0386	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR/UHPA-FAMILY)
Rv0452		Rv0452	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0465c		Rv0465c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0472c		Rv0472c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)
Rv0474		Rv0474	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0485		Rv0485	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0494		Rv0494	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)
Rv0576		Rv0576	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY ARSR-FAMILY)
Rv0586		Rv0586	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (GNTR-FAMILY)
Rv0600c		Rv0600c	9	PROBABLE TWO COMPONENT SENSOR KINASE [SECOND PART]
Rv0601c		Rv0601c	9	PROBABLE TWO COMPONENT SENSOR KINASE [FIRST PART]
Rv0653c		Rv0653c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv0681		Rv0681	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)
Rv0691c		Rv0691c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0737		Rv0737	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0744c		Rv0744c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0792c		Rv0792c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)
Rv0818		Rv0818	9	TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0823c		Rv0823c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0827c		Rv0827c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0845		Rv0845	9	POSSIBLE TWO COMPONENT SENSOR KINASE
Rv0880		Rv0880	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY MARR-FAMILY)
Rv0890c		Rv0890c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR-FAMILY)
Rv0891c		Rv0891c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv0894		Rv0894	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY LUXR-FAMILY)
Rv1019		Rv1019	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv1049		Rv1049	9	PROBABLE TRANSCRIPTIONAL REPRESSOR PROTEIN
Rv1129c		Rv1129c	9	PROBABLE TRANSCRIPTIONAL REGULATOR PROTEIN
Rv1151c		Rv1151c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1152		Rv1152	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1167c		Rv1167c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1219c		Rv1219c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1255c		Rv1255c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1332		Rv1332	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1353c		Rv1353c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1358		Rv1358	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1359		Rv1359	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1395		Rv1395	9	TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1404		Rv1404	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1453		Rv1453	9	POSSIBLE TRANSCRIPTIONAL ACTIVATOR PROTEIN
Rv1460		Rv1460	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1473A		Rv1473A	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1474c		Rv1474c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1534		Rv1534	9	Probable transcriptional regulator
Rv1556		Rv1556	9	Possible regulatory protein
Rv1626		Rv1626	9	Probable two-component system transcriptional regulator
Rv1674c		Rv1674c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1675c		Rv1675c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1719		Rv1719	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1773c		Rv1773c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1776c		Rv1776c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1816		Rv1816	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1846c		Rv1846c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1931c		Rv1931c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv1985c		Rv1985c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LYSR-FAMILY)
Rv1990c		Rv1990c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv2017		Rv2017	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv2021c		Rv2021c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv2034		Rv2034	9	Probable ArsR-type repressor protein
Rv2160A		Rv2160A	9	CONSERVED HYPOTHETICAL PROTEIN
Rv2160c		Rv2160c	9	CONSERVED HYPOTHETICAL PROTEIN
Rv2175c		Rv2175c	9	conserved hypothetical regulatory protein
Rv2250c		Rv2250c	9	Possible transcriptional regulatory protein
Rv2258c		Rv2258c	9	Possible transcriptional regulatory protein
Rv2282c		Rv2282c	9	Probable transcription regulator (lysR family)
Rv2324		Rv2324	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ASNC-FAMILY)
Rv2358		Rv2358	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ARSR-FAMILY)
Rv2488c		Rv2488c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (LUXR-FAMILY)
Rv2506		Rv2506	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv2621c		Rv2621c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv2640c		Rv2640c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ARSR-FAMILY)
Rv2642		Rv2642	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ARSR-FAMILY)
Rv2745c		Rv2745c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv2779c		Rv2779c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LRP/ASNC-FAMILY)
Rv2884		Rv2884	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv2887		Rv2887	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv2912c		Rv2912c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv2989		Rv2989	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv3050c		Rv3050c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ASNC-FAMILY)
Rv3055		Rv3055	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv3058c		Rv3058c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv3060c		Rv3060c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)
Rv3066		Rv3066	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY DEOR-FAMILY)
Rv3095		Rv3095	9	HYPOTHETICAL TRANSCRIPTIONAL REGULATORY PROTEIN
Rv3124		Rv3124	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv3143		Rv3143	9	PROBABLE RESPONSE REGULATOR
Rv3160c		Rv3160c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv3167c		Rv3167c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv3173c		Rv3173c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR/ACRR-FAMILY)
Rv3183		Rv3183	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv3208		Rv3208	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv3220c		Rv3220c	9	PROBABLE TWO COMPONENT SENSOR KINASE
Rv3249c		Rv3249c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv3291c		Rv3291c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ASNC-FAMILY)
Rv3295		Rv3295	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv3334		Rv3334	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MERR-FAMILY)
Rv3405c		Rv3405c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Rv3557c		Rv3557c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv3574	<I>kstR</I>	Rv3574	9	TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv3575c		Rv3575c	9	TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LACI-FAMILY)
Rv3583c		Rv3583c	9	POSSIBLE TRANSCRIPTION FACTOR
Rv3676		Rv3676	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY CRP/FNR-FAMILY)
Rv3736		Rv3736	9	TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ARAC/XYLS-FAMILY)
Rv3830c		Rv3830c	9	TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
Rv3833		Rv3833	9	TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ARAC-FAMILY)
Rv3840		Rv3840	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
senX3	<I>Rv0490</I>	Rv0490	9	PUTATIVE TWO COMPONENT SENSOR HISTIDINE KINASE SENX3
sirR	<I>Rv2788</I>	Rv2788	9	PROBABLE TRANSCRIPTIONAL REPRESSOR SIRR
tcrA	<I>Rv0602c</I>	Rv0602c	9	PROBABLE TWO COMPONENT DNA BINDING TRANSCRIPTIONAL REGULATORY PROTEIN TCRA
tcrX	<I>Rv3765c</I>	Rv3765c	9	PROBABLE TWO COMPONENT TRANSCRIPTIONAL REGULATORY PROTEIN TCRX
tcrY	<I>Rv3764c</I>	Rv3764c	9	POSSIBLE TWO COMPONENT SENSOR KINASE TCRY
trcR	<I>Rv1033c</I>	Rv1033c	9	TWO COMPONENT TRANSCRIPTIONAL REGULATOR TRCR
trcS	<I>Rv1032c</I>	Rv1032c	9	TWO COMPONENT SENSOR HISTIDINE KINASE TRCS
whiA	<I>Rv1423</I>	Rv1423	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIA
whiB1	<I>whmE</I>, <I>Rv3219</I>	Rv3219	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB1
whiB2	<I>whmD</I>, <I>Rv3260c</I>	Rv3260c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB2
whiB3	<I>whmB</I>, <I>Rv3416</I>	Rv3416	9	TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB3
whiB4	<I>whmA</I>, <I>Rv3681c</I>	Rv3681c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB4
whiB5	<I>whmG</I>, <I>Rv0022c</I>	Rv0022c	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5
whiB6	<I>whmF</I>, <I>Rv3862c</I>	Rv3862c	9	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB6
whiB7	<I>whmC</I>, <I>Rv3197A</I>	Rv3197A	9	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB7
