Gene name	Synonym	Accession number	Functional category	Description
corA	<I>Rv1239c</I>	Rv1239c	3	POSSIBLE MAGNESIUM AND COBALT TRANSPORT TRANSMEMBRANE PROTEIN CORA
cpsY	<I>Rv0806c</I>	Rv0806c	3	POSSIBLE UDP-GLUCOSE-4-EPIMERASE CPSY (GALACTOWALDENASE) (UDP-GALACTOSE-4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE-4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE-4-EPIMERASE)
ctpA	<I>Rv0092</I>	Rv0092	3	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA
ctpB	<I>Rv0103c</I>	Rv0103c	3	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB
ctpC	<I>Rv3270</I>	Rv3270	3	PROBABLE METAL CATION-TRANSPORTING P-TYPE ATPASE C CTPC
ctpD	<I>Rv1469</I>	Rv1469	3	PROBABLE CATION TRANSPORTER P-TYPE ATPASE D CTPD
ctpE	<I>Rv0908</I>	Rv0908	3	PROBABLE METAL CATION TRANSPORTER ATPASE P-TYPE CTPE
ctpF	<I>Rv1997</I>	Rv1997	3	PROBABLE METAL CATION TRANSPORTER P-TYPE ATPASE A CTPF
ctpG	<I>cmtA</I>, <I>Rv1992c</I>	Rv1992c	3	PROBABLE METAL CATION TRANSPORTER P-TYPE ATPASE G CTPG
ctpH	<I>Rv0425c</I>	Rv0425c	3	POSSIBLE METAL CATION TRANSPORTING P-TYPE ATPASE CTPH
ctpI	<I>Rv0107c</I>	Rv0107c	3	PROBABLE CATION-TRANSPORTER ATPASE I CTPI
ctpJ	<I>nmtA</I>, <I>Rv3743c</I>	Rv3743c	3	PROBABLE CATION TRANSPORTER P-TYPE ATPASE CTPJ
ctpV	<I>Rv0969</I>	Rv0969	3	PROBABLE METAL CATION TRANSPORTER P-TYPE ATPASE CTPV
cut1	<I>Rv1758</I>	Rv1758	3	PROBABLE CUTINASE CUT1
cut2	<I>cfp25</I>, <I>Rv2301</I>	Rv2301	3	PROBABLE CUTINASE CUT2
cut3	<I>Rv3451</I>	Rv3451	3	PROBABLE CUTINASE PRECURSOR CUT3
cut4	<I>Rv3452</I>	Rv3452	3	PROBABLE CUTINASE PRECURSOR CUT4
cut5a	<I>Rv3724A</I>	Rv3724A	3	PROBABLE CUTINASE PRECURSOR [FIRST PART] CUT5A
cut5b	<I>Rv3724B</I>	Rv3724B	3	PROBABLE CUTINASE [SECOND PART] CUT5B
cycA	<I>Rv1704c</I>	Rv1704c	3	PROBABLE D-SERINE/ALANINE/GLYCINE TRANSPORTER PROTEIN CYCA
cysA1	<I>cysA</I>, <I>Rv2397c</I>	Rv2397c	3	PROBABLE SULFATE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER CYSA1
cysT	<I>Rv2399c</I>	Rv2399c	3	PROBABLE SULFATE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER CYST
cysW	<I>Rv2398c</I>	Rv2398c	3	PROBABLE SULFATE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER CYSW
dacB1	<I>Rv3330</I>	Rv3330	3	PROBABLE PENICILLIN-BINDING PROTEIN DACB1 (D-ALANYL-D-ALANINE CARBOXYPEPTIDASE) (DD-PEPTIDASE) (DD-CARBOXYPEPTIDASE) (PBP) (DD-TRANSPEPTIDASE) (SERINE-TYPE D-ALA-D-ALA CARBOXYPEPTIDASE) (D-AMINO ACID HYDROLASE)
dacB2	<I>dacB</I>, <I>Rv2911</I>	Rv2911	3	PROBABLE D-ALANYL-D-ALANINE CARBOXYPEPTIDASE DACB2 (PENICILLIN-BINDING PROTEIN) (DD-PEPTIDASE) (DD-CARBOXYPEPTIDASE) (PBP) (DD-TRANSPEPTIDASE) (SERINE-TYPE D-ALA-D-ALA CARBOXYPEPTIDASE) (D-AMINO ACID HYDROLASE)
dctA	<I>Rv2443</I>	Rv2443	3	PROBABLE C4-DICARBOXYLATE-TRANSPORT TRANSMEMBRANE PROTEIN DCTA
ddlA	<I>ddl</I>, <I>Rv2981c</I>	Rv2981c	3	PROBABLE D-ALANINE--D-ALANINE LIGASE DDLA (D-ALANYLALANINE SYNTHETASE) (D-ALA-D-ALA LIGASE)
dedA	<I>Rv2637</I>	Rv2637	3	POSSIBLE TRANSMEMBRANE PROTEIN DEDA
dppA	<I>Rv3666c</I>	Rv3666c	3	PROBABLE PERIPLASMIC DIPEPTIDE-BINDING LIPOPROTEIN DPPA
dppB	<I>Rv3665c</I>	Rv3665c	3	PROBABLE DIPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER DPPB
dppC	<I>Rv3664c</I>	Rv3664c	3	PROBABLE DIPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER DPPC
dppD	<I>Rv3663c</I>	Rv3663c	3	PROBABLE DIPEPTIDE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER DPPD
drrA	<I>Rv2936</I>	Rv2936	3	PROBABLE DAUNORUBICIN-DIM-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER DRRA
drrB	<I>Rv2937</I>	Rv2937	3	PROBABLE DAUNORUBICIN-DIM-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER DRRB
drrC	<I>Rv2938</I>	Rv2938	3	PROBABLE DAUNORUBICIN-DIM-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER DRRC
dsbF	<I>Rv1677</I>	Rv1677	3	PROBABLE CONSERVED LIPOPROTEIN DSBF
efpA	<I>Rv2846c</I>	Rv2846c	3	POSSIBLE INTEGRAL MEMBRANE EFFLUX PROTEIN EFPA
embA	<I>Rv3794</I>	Rv3794	3	INTEGRAL MEMBRANE INDOLYLACETYLINOSITOL ARABINOSYLTRANSFERASE EMBA (ARABINOSYLINDOLYLACETYLINOSITOL SYNTHASE)
embB	<I>Rv3795</I>	Rv3795	3	INTEGRAL MEMBRANE INDOLYLACETYLINOSITOL ARABINOSYLTRANSFERASE EMBB (ARABINOSYLINDOLYLACETYLINOSITOL SYNTHASE)
embC	<I>Rv3793</I>	Rv3793	3	INTEGRAL MEMBRANE INDOLYLACETYLINOSITOL ARABINOSYLTRANSFERASE EMBC (ARABINOSYLINDOLYLACETYLINOSITOL SYNTHASE)
emrB	<I>Rv0783c</I>	Rv0783c	3	POSSIBLE MULTIDRUG RESISTANCE INTEGRAL MEMBRANE EFFLUX PROTEIN EMRB
esxA	<I>esat-6</I>, <I>Rv3875</I>	Rv3875	3	6 KDA EARLY SECRETORY ANTIGENIC TARGET ESXA (ESAT-6)
esxB	<I>lhp, cfp10</I>, <I>Rv3874</I>	Rv3874	3	10 KDA CULTURE FILTRATE ANTIGEN ESXB (LHP) (CFP10)
esxC	<I>ES6_11</I>, <I>Rv3890c</I>	Rv3890c	3	ESAT-6 LIKE PROTEIN ESXC (ESAT-6 like protein 11)
esxD	<I>Rv3891c</I>	Rv3891c	3	POSSIBLE ESAT-6 LIKE PROTEIN ESXD
esxE	<I>ES6_12</I>, <I>Rv3904c</I>	Rv3904c	3	PUTATIVE ESAT-6 LIKE PROTEIN ESXE (HYPOTHETICAL ALANINE RICH PROTEIN) (ESAT-6 LIKE PROTEIN 12)
esxF	<I>ES6_13</I>, <I>Rv3905c</I>	Rv3905c	3	PUTATIVE ESAT-6 LIKE PROTEIN ESXF (HYPOTHETICAL ALANINE AND GLYCINE RICH PROTEIN) (ESAT-6 LIKE PROTEIN 13)
esxG	<I>TB9.8</I>, <I>Rv0287</I>	Rv0287	3	ESAT-6 LIKE PROTEIN ESXG (CONSERVED HYPOTHETICAL PROTEIN TB9.8)
esxH	<I>cfp7, TB10.4</I>, <I>Rv0288</I>	Rv0288	3	LOW MOLECULAR WEIGHT PROTEIN ANTIGEN 7 ESXH (10 kDa ANTIGEN) (CFP-7) (PROTEIN TB10.4)
esxI	<I>ES6_1, Mtb9.9D</I>, <I>Rv1037c</I>	Rv1037c	3	PUTATIVE ESAT-6 LIKE PROTEIN ESXI (ESAT-6 LIKE PROTEIN 1)
esxJ	<I>ES6_2, TB11.0, QILSS</I>, <I>Rv1038c</I>	Rv1038c	3	ESAT-6 LIKE PROTEIN ESXJ (ESAT-6 LIKE PROTEIN 2)
esxK	<I>ES6_3, TB11.0, QILSS</I>, <I>Rv1197</I>	Rv1197	3	ESAT-6 LIKE PROTEIN ESXK (ESAT-6 LIKE PROTEIN 3)
esxL	<I>ES6_4, Mtb9.9C</I>, <I>Rv1198</I>	Rv1198	3	PUTATIVE ESAT-6 LIKE PROTEIN ESXL (ESAT-6 LIKE PROTEIN 4)
esxM	<I>TB11.0, QILSS</I>, <I>Rv1792</I>	Rv1792	3	ESAT-6 LIKE PROTEIN ESXM
esxN	<I>ES6_5, Mtb9.9A</I>, <I>Rv1793</I>	Rv1793	3	PUTATIVE ESAT-6 LIKE PROTEIN ESXN (ESAT-6 LIKE PROTEIN 5)
esxO	<I>ES6_6, Mtb9.9E</I>, <I>Rv2346c</I>	Rv2346c	3	PUTATIVE ESAT-6 LIKE PROTEIN ESXO (ESAT-6 LIKE PROTEIN 6)
esxP	<I>ES6_7, QILSS</I>, <I>Rv2347c</I>	Rv2347c	3	PUTATIVE ESAT-6 LIKE PROTEIN ESXP (ESAT-6 LIKE PROTEIN 7)
esxQ	<I>TB12.9, ES6_8</I>, <I>Rv3017c</I>	Rv3017c	3	ESAT-6 LIKE PROTEIN ESXQ (TB12.9) (ESAT-6 LIKE PROTEIN 8)
esxR	<I>ES6_9, TB10.3</I>, <I>Rv3019c</I>	Rv3019c	3	SECRETED ESAT-6 LIKE PROTEIN ESXR (TB10.3) (ESAT-6 LIKE PROTEIN 9)
esxS	<I>PE28</I>, <I>Rv3020c</I>	Rv3020c	3	ESAT-6 LIKE PROTEIN ESXS
esxT	<I>Rv3444c</I>	Rv3444c	3	PUTATIVE ESAT-6 LIKE PROTEIN ESXT
esxU	<I>Rv3445c</I>	Rv3445c	3	ESAT-6 LIKE PROTEIN ESXU
esxV	<I>ES6_1, Mtb9.9D</I>, <I>Rv3619c</I>	Rv3619c	3	PUTATIVE ESAT-6 LIKE PROTEIN ESXV (ESAT-6 LIKE PROTEIN 1)
esxW	<I>ES6_10, QILSS</I>, <I>Rv3620c</I>	Rv3620c	3	PUTATIVE ESAT-6 LIKE PROTEIN ESXW (ESAT-6 LIKE PROTEIN 10)
fecB	<I>Rv3044</I>	Rv3044	3	PROBABLE FEIII-DICITRATE-BINDING PERIPLASMIC LIPOPROTEIN FECB
ffh	<I>Rv2916c</I>	Rv2916c	3	PROBABLE SIGNAL RECOGNITION PARTICLE PROTEIN FFH (FIFTY-FOUR HOMOLOG) (SRP PROTEIN)
fic	<I>Rv3641c</I>	Rv3641c	3	POSSIBLE CELL FILAMENTATION PROTEIN FIC
ftsE	<I>Rv3102c</I>	Rv3102c	3	PUTATIVE CELL DIVISION ATP-BINDING PROTEIN FTSE (SEPTATION COMPONENT-TRANSPORT  ATP-BINDING PROTEIN ABC TRANSPORTER)
ftsH	<I>Rv3610c</I>	Rv3610c	3	MEMBRANE-BOUND PROTEASE FTSH (CELL DIVISION PROTEIN)
ftsK	<I>Rv2748c</I>	Rv2748c	3	POSSIBLE CELL DIVISION TRANSMEMBRANE PROTEIN FTSK
ftsQ	<I>Rv2151c</I>	Rv2151c	3	POSSIBLE CELL DIVISION PROTEIN FTSQ
ftsW	<I>Rv2154c</I>	Rv2154c	3	FtsW-like protein FtsW
ftsX	<I>Rv3101c</I>	Rv3101c	3	PUTATIVE CELL DIVISION PROTEIN FTSX (SEPTATION COMPONENT-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER)
ftsY	<I>Rv2921c</I>	Rv2921c	3	PROBABLE CELL DIVISION PROTEIN FTSY (SRP RECEPTOR) (SIGNAL RECOGNITION PARTICLE RECEPTOR)
ftsZ	<I>Rv2150c</I>	Rv2150c	3	cell division protein FtsZ
gabP	<I>Rv0522</I>	Rv0522	3	PROBABLE GABA PERMEASE GABP (4-AMINO BUTYRATE TRANSPORT CARRIER) (GAMA-AMINOBUTYRATE PERMEASE)
gca	<I>Rv0112</I>	Rv0112	3	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE)
gid	<I>gidB</I>, <I>Rv3919c</I>	Rv3919c	3	PROBABLE GLUCOSE-INHIBITED DIVISION PROTEIN B GID
glf	<I>ceoA</I>, <I>Rv3809c</I>	Rv3809c	3	UDP-GALACTOPYRANOSE MUTASE GLF (UDP-GALP MUTASE) (NAD+-FLAVIN ADENINE DINUCLEOTIDE-REQUIRING ENZYME)
glfT1	<I>rfbE</I>, <I>Rv3782</I>	Rv3782	3	Galactofuranosyl transferase
glfT2	<I>Rv3808c</I>	Rv3808c	3	BIFUNCTIONAL UDP-GALACTOFURANOSYL TRANSFERASE GLFT2
glmU	<I>Rv1018c</I>	Rv1018c	3	Probable UDP-N-acetylglucosamine pyrophosphorylase glmU
glnH	<I>Rv0411c</I>	Rv0411c	3	PROBABLE GLUTAMINE-BINDING LIPOPROTEIN GLNH (GLNBP)
glnQ	<I>Rv2564</I>	Rv2564	3	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER GLNQ
gmhA	<I>lpcA</I>, <I>Rv0113</I>	Rv0113	3	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE)
gmhB	<I>Rv0114</I>	Rv0114	3	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE)
hbhA	<I>Rv0475</I>	Rv0475	3	IRON-REGULATED HEPARIN BINDING HEMAGGLUTININ HBHA (ADHESIN)
hddA	<I>Rv0115</I>	Rv0115	3	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA
iniA	<I>Rv0342</I>	Rv0342	3	ISONIAZID INDUCTIBLE GENE PROTEIN INIA
iniB	<I>Rv0341</I>	Rv0341	3	ISONIAZID INDUCTIBLE GENE PROTEIN INIB
iniC	<I>Rv0343</I>	Rv0343	3	ISONIAZID INDUCTIBLE GENE PROTEIN INIC
kdpA	<I>Rv1029</I>	Rv1029	3	Probable Potassium-transporting ATPase A chain KDPA (Potassium-translocating ATPase A chain) (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium binding and translocating subunit A)
kdpB	<I>Rv1030</I>	Rv1030	3	Probable Potassium-transporting P-type ATPase B chain KDPB (Potassium-translocating ATPase B chain) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium binding and translocating subunit B)
kdpC	<I>Rv1031</I>	Rv1031	3	Probable Potassium-transporting ATPase C chain KDPC (Potassium-translocating ATPase C chain) (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium binding and translocating subunit C)
kdpF	<I>Rv1028A</I>	Rv1028A	3	Probable membrane protein kdpF
kdtB	<I>coaD</I>, <I>Rv2965c</I>	Rv2965c	3	PROBABLE PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE KDTB (PANTETHEINE- PHOSPHATE ADENYLYLTRANSFERASE) (PPAT) (DEPHOSPHO-CoA PYROPHOSPHORYLASE)
kgtP	<I>Rv3476c</I>	Rv3476c	3	PROBABLE DICARBOXYLIC ACID TRANSPORT INTEGRAL MEMBRANE PROTEIN KGTP (DICARBOXYLATE TRANSPORTER)
lepB	<I>Rv2903c</I>	Rv2903c	3	PROBABLE SIGNAL PEPTIDASE I LEPB (SPASE I) (LEADER PEPTIDASE I).
lgt	<I>Rv1614</I>	Rv1614	3	Possible prolipoprotein diacylglyceryl transferases Lgt
lppA	<I>Rv2543</I>	Rv2543	3	PROBABLE CONSERVED LIPOPROTEIN LPPA
lppB	<I>Rv2544</I>	Rv2544	3	PROBABLE CONSERVED LIPOPROTEIN LPPB
lppC	<I>Rv1911c</I>	Rv1911c	3	PROBABLE LIPOPROTEIN LPPC
lppD	<I>Rv1899c</I>	Rv1899c	3	POSSIBLE LIPOPROTEIN LPPD
lppE	<I>Rv1881c</I>	Rv1881c	3	POSSIBLE CONSERVED LIPOPROTEIN LPPE
lppF	<I>Rv1921c</I>	Rv1921c	3	PROBABLE CONSERVED LIPOPROTEIN LPPF
lppG	<I>Rv1946c</I>	Rv1946c	3	POSSIBLE LIPOPROTEIN
lppH	<I>pknM</I>, <I>Rv3576</I>	Rv3576	3	POSSIBLE CONSERVED LIPOPROTEIN LPPH
lppI	<I>Rv2046</I>	Rv2046	3	Probable lipoprotein lppI
lppJ	<I>Rv2080</I>	Rv2080	3	Possible lipoprotein lppJ
lppK	<I>Rv2116</I>	Rv2116	3	Probable conserved lipoprotein lppK
lppL	<I>Rv2138</I>	Rv2138	3	Probable conserved lipoprotein LppL
lppM	<I>Rv2171</I>	Rv2171	3	Probable conserved lipoprotein lppM
lppN	<I>Rv2270</I>	Rv2270	3	PROBABLE LIPOPROTEIN LPPN
lppO	<I>Rv2290</I>	Rv2290	3	Probable conserved lipoprotein lppO
lppP	<I>Rv2330c</I>	Rv2330c	3	PROBABLE LIPOPROTEIN LPPP
lppQ	<I>Rv2341</I>	Rv2341	3	PROBABLE CONSERVED LIPOPROTEIN LPPQ
lppR	<I>Rv2403c</I>	Rv2403c	3	PROBABLE CONSERVED LIPOPROTEIN LPPR
lppS	<I>Rv2518c</I>	Rv2518c	3	PROBABLE CONSERVED LIPOPROTEIN LPPS
lppT	<I>Rv1799</I>	Rv1799	3	PROBABLE LIPOPROTEIN LPPT
lppU	<I>Rv2784c</I>	Rv2784c	3	PROBABLE LIPOPROTEIN LPPU
lppV	<I>Rv2796c</I>	Rv2796c	3	PROBABLE CONSERVED LIPOPROTEIN LPPV
lppW	<I>Rv2905</I>	Rv2905	3	PROBABLE CONSERVED ALANINE RICH LIPOPROTEIN LPPW
lppX	<I>Rv2945c</I>	Rv2945c	3	PROBABLE CONSERVED LIPOPROTEIN LPPX
lppY	<I>Rv2999</I>	Rv2999	3	PROBABLE CONSERVED LIPOPROTEIN LPPY
lppZ	<I>Rv3006</I>	Rv3006	3	PROBABLE CONSERVED LIPOPROTEIN LPPZ
lpqA	<I>Rv3016</I>	Rv3016	3	PROBABLE LIPOPROTEIN LPQA
lpqB	<I>Rv3244c</I>	Rv3244c	3	PROBABLE CONSERVED LIPOPROTEIN LPQB
lpqC	<I>Rv3298c</I>	Rv3298c	3	POSSIBLE ESTERASE LIPOPROTEIN LPQC
lpqD	<I>Rv3390</I>	Rv3390	3	PROBABLE CONSERVED LIPOPROTEIN LPQD
lpqE	<I>Rv3584</I>	Rv3584	3	POSSIBLE CONSERVED LIPOPROTEIN LPQE
lpqF	<I>Rv3593</I>	Rv3593	3	PROBABLE CONSERVED LIPOPROTEIN LPQF
lpqG	<I>Rv3623</I>	Rv3623	3	PROBABLE CONSERVED LIPOPROTEIN LPQG
lpqH	<I>Rv3763</I>	Rv3763	3	19 KDA LIPOPROTEIN ANTIGEN PRECURSOR LPQH
lpqI	<I>Rv0237</I>	Rv0237	3	PROBABLE CONSERVED LIPOPROTEIN LPQI
lpqJ	<I>Rv0344c</I>	Rv0344c	3	PROBABLE LIPOPROTEIN LPQJ
lpqK	<I>Rv0399c</I>	Rv0399c	3	POSSIBLE CONSERVED LIPOPROTEIN LPQK
lpqL	<I>Rv0418</I>	Rv0418	3	PROBABLE LIPOPROTEIN AMINOPEPTIDASE LPQL
lpqM	<I>Rv0419</I>	Rv0419	3	POSSIBLE LIPOPROTEIN PEPTIDASE LPQM
lpqN	<I>Rv0583c</I>	Rv0583c	3	PROBABLE CONSERVED LIPOPROTEIN LPQN
lpqO	<I>Rv0604</I>	Rv0604	3	PROBABLE CONSERVED LIPOPROTEIN LPQO
lpqP	<I>Rv0671</I>	Rv0671	3	POSSIBLE CONSERVED LIPOPROTEIN LPQP
lpqQ	<I>Rv0835</I>	Rv0835	3	POSSIBLE LIPOPROTEIN LPQQ
lpqR	<I>Rv0838</I>	Rv0838	3	PROBABLE CONSERVED LIPOPROTEIN LPQR
lpqS	<I>Rv0847</I>	Rv0847	3	PROBABLE LIPOPROTEIN LPQS
lpqT	<I>Rv1016c</I>	Rv1016c	3	PROBABLE CONSERVED LIPOPROTEIN LPQT
lpqU	<I>Rv1022</I>	Rv1022	3	PROBABLE CONSERVED LIPOPROTEIN LPQU
lpqV	<I>Rv1064c</I>	Rv1064c	3	POSSIBLE LIPOPROTEIN LPQV
lpqW	<I>Rv1166</I>	Rv1166	3	PROBABLE CONSERVED LIPOPROTEIN LPQW
lpqX	<I>Rv1228</I>	Rv1228	3	PROBABLE LIPOPROTEIN LPQX
lpqY	<I>Rv1235</I>	Rv1235	3	PROBABLE SUGAR-BINDING LIPOPROTEIN LPQY
lpqZ	<I>Rv1244</I>	Rv1244	3	PROBABLE LIPOPROTEIN LPQZ
lprA	<I>Rv1270c</I>	Rv1270c	3	POSSIBLE LIPOPROTEIN LPRA
lprB	<I>Rv1274</I>	Rv1274	3	POSSIBLE LIPOPROTEIN LPRB
lprC	<I>Rv1275</I>	Rv1275	3	POSSIBLE LIPOPROTEIN LPRC
lprD	<I>Rv1343c</I>	Rv1343c	3	PROBABLE CONSERVED LIPOPROTEIN LPRD
lprE	<I>Rv1252c</I>	Rv1252c	3	PROBABLE LIPOPROTEIN LPRE
lprF	<I>Rv1368</I>	Rv1368	3	PROBABLE CONSERVED LIPOPROTEIN LPRF
lprG	<I>P27</I>, <I>Rv1411c</I>	Rv1411c	3	PROBABLE CONSERVED LIPOPROTEIN LPRG
lprH	<I>Rv1418</I>	Rv1418	3	PROBABLE LIPOPROTEIN LPRH
lprI	<I>Rv1541c</I>	Rv1541c	3	Possible lipoprotein lprI
lprJ	<I>Rv1690</I>	Rv1690	3	PROBABLE LIPOPROTEIN LPRJ
lprK	<I>mce1E</I>, <I>Rv0173</I>	Rv0173	3	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E)
lprL	<I>mce2E</I>, <I>Rv0593</I>	Rv0593	3	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRL (MCE-FAMILY LIPOPROTEIN MCE2E)
lprM	<I>mce3E</I>, <I>Rv1970</I>	Rv1970	3	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRM (MCE-FAMILY LIPOPROTEIN MCE3E)
lprN	<I>mce4E</I>, <I>Rv3495c</I>	Rv3495c	3	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRN (MCE-FAMILY LIPOPROTEIN MCE4E)
lprO	<I>Rv0179c</I>	Rv0179c	3	POSSIBLE LIPOPROTEIN LPRO
lprP	<I>Rv0962c</I>	Rv0962c	3	POSSIBLE LIPOPROTEIN LPRP
lprQ	<I>Rv0483</I>	Rv0483	3	PROBABLE CONSERVED LIPOPROTEIN LPRQ
lspA	<I>Rv1539</I>	Rv1539	3	PROBABLE LIPOPROTEIN SIGNAL PEPTIDASE LSPA
ltp1	<I>Rv2790c</I>	Rv2790c	3	PROBABLE LIPID-TRANSFER PROTEIN LTP1
lytB1	<I>Rv3382c</I>	Rv3382c	3	PROBABLE LYTB-RELATED PROTEIN LYTB1
lytB2	<I>Rv1110</I>	Rv1110	3	PROBABLE LYTB-RELATED PROTEIN LYTB2
manB	<I>hddC</I>, <I>Rv3264c</I>	Rv3264c	3	D-ALPHA-D-MANNOSE-1-PHOSPHATE GUANYLYLTRANSFERASE MANB (D-ALPHA-D-HEPTOSE-1-PHOSPHATE GUANYLYLTRANSFERASE)
mesJ	<I>Rv3625c</I>	Rv3625c	3	POSSIBLE CELL CYCLE PROTEIN MESJ
mgtC	<I>Rv1811</I>	Rv1811	3	POSSIBLE Mg2+ TRANSPORT P-TYPE ATPASE C MGTC
mgtE	<I>Rv0362</I>	Rv0362	3	POSSIBLE Mg2+ TRANSPORT TRANSMEMBRANE PROTEIN MGTE
mkl	<I>Rv0655</I>	Rv0655	3	POSSIBLE RIBONUCLEOTIDE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER MKL
mmpL1	<I>Rv0402c</I>	Rv0402c	3	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL1
mmpL10	<I>Rv1183</I>	Rv1183	3	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL10
mmpL11	<I>Rv0202c</I>	Rv0202c	3	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL11
mmpL12	<I>Rv1522c</I>	Rv1522c	3	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL12
mmpL13a	<I>Rv1145</I>	Rv1145	3	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL13A
mmpL13b	<I>Rv1146</I>	Rv1146	3	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL13B
mmpL2	<I>Rv0507</I>	Rv0507	3	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL2
mmpL3	<I>Rv0206c</I>	Rv0206c	3	POSSIBLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL3
mmpL4	<I>Rv0450c</I>	Rv0450c	3	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL4
