Gene name	Synonym	Accession number	Functional category	Description
gatC	<I>Rv3012c</I>	Rv3012c	2	PROBABLE GLUTAMYL-TRNA(GLN) AMIDOTRANSFERASE (SUBUNIT C) GATC (Glu-ADT SUBUNIT C)
gltS	<I>gltX</I>, <I>Rv2992c</I>	Rv2992c	2	PROBABLE GLUTAMYL-TRNA SYNTHETASE GLTS (GLUTAMATE--TRNA LIGASE) (GLUTAMYL-TRNA SYNTHASE) (GLURS)
glyS	<I>Rv2357c</I>	Rv2357c	2	PROBABLE GLYCYL-tRNA SYNTHETASE GLYS (GLYCINE--tRNA LIGASE) (GLYRS)
gpsI	<I>Rv2783c</I>	Rv2783c	2	BIFUNCTIONAL PROTEIN POLYRIBONUCLEOTIDE NUCLEOTIDYLTRANSFERASE GPSI: GUANOSINE PENTAPHOSPHATE SYNTHETASE + POLYRIBONUCLEOTIDE NUCLEOTIDYLTRANSFERASE (POLYNUCLEOTIDE PHOSPHORYLASE) (PNPASE)
greA	<I>Rv1080c</I>	Rv1080c	2	PROBABLE TRANSCRIPTION ELONGATION FACTOR GREA (Transcript cleavage factor greA)
gyrA	<I>Rv0006</I>	Rv0006	2	DNA GYRASE (SUBUNIT A) GYRA (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)
gyrB	<I>Rv0005</I>	Rv0005	2	DNA GYRASE (SUBUNIT B) GYRB (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)
helY	<I>Rv2092c</I>	Rv2092c	2	PROBABLE ATP-DEPENDENT DNA HELICASE HELY
helZ	<I>Rv2101</I>	Rv2101	2	PROBABLE HELICASE HELZ
hisS	<I>Rv2580c</I>	Rv2580c	2	PROBABLE HISTIDYL-TRNA SYNTHETASE HISS (HISTIDINE--TRNA LIGASE) (HISRS) (HISTIDINE--TRANSLASE)
hns	<I>Rv3852</I>	Rv3852	2	POSSIBLE HISTONE-LIKE PROTEIN HNS
hsdM	<I>Rv2756c</I>	Rv2756c	2	POSSIBLE TYPE I RESTRICTION/MODIFICATION SYSTEM DNA METHYLASE HSDM (M PROTEIN) (DNA METHYLTRANSFERASE)
hsdS	<I>Rv2761c</I>	Rv2761c	2	POSSIBLE TYPE I RESTRICTION/MODIFICATION SYSTEM SPECIFICITY DETERMINANT HSDS (S PROTEIN)
hsdS.1	<I>hsdS'</I>, <I>Rv2755c</I>	Rv2755c	2	POSSIBLE TYPE I RESTRICTION/MODIFICATION SYSTEM SPECIFICITY DETERMINANT (FRAGMENT) HSDS.1 (S PROTEIN)
hupB	<I>hup</I>, <I>hlp</I>, <I>lbp21</I>, <I>Rv2986c</I>	Rv2986c	2	PROBABLE DNA-BINDING PROTEIN HU HOMOLOG HUPB (HISTONE-LIKE PROTEIN) (HLP) (21-KDA LAMININ-2-BINDING PROTEIN)
ileS	<I>Rv1536</I>	Rv1536	2	isoleucyl-tRNA synthetase ileS
infA	<I>Rv3462c</I>	Rv3462c	2	PROBABLE TRANSLATION INITIATION FACTOR IF-1 INFA
infB	<I>Rv2839c</I>	Rv2839c	2	PROBABLE TRANSLATION INITIATION FACTOR IF-2 INFB
infC	<I>Rv1641</I>	Rv1641	2	PROBABLE INITIATION FACTOR IF-3 INFC
ksgA	<I>Rv1010</I>	Rv1010	2	PROBABLE DIMETHYLADENOSINE TRANSFERASE KSGA (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase) (16S rRNA dimethylase) (High level kasugamycin resistance protein ksgA) (Kasugamycin dimethyltransferase)
leuS	<I>Rv0041</I>	Rv0041	2	PROBABLE LEUCYL-tRNA SYNTHETASE LEUS (LEUCINE--tRNA LIGASE) (LEURS)
lhr	<I>Rv3296</I>	Rv3296	2	PROBABLE ATP-DEPENDENT HELICASE LHR (LARGE HELICASE-RELATED PROTEIN)
ligA	<I>lig</I>, <I>Rv3014c</I>	Rv3014c	2	PROBABLE DNA LIGASE [NAD DEPENDENT] LIGA (POLYDEOXYRIBONUCLEOTIDE SYNTHASE [NAD+])
ligB	<I>Rv3062</I>	Rv3062	2	PROBABLE ATP-DEPENDENT DNA LIGASE LIGB (POLYDEOXYRIBONUCLEOTIDE SYNTHASE [ATP]) (POLYNUCLEOTIDE LIGASE [ATP]) (SEALASE) (DNA REPAIR PROTEIN) (DNA JOINASE)
ligC	<I>Rv3731</I>	Rv3731	2	POSSIBLE ATP-DEPENDENT DNA LIGASE LIGC (POLYDEOXYRIBONUCLEOTIDE SYNTHASE [ATP]) (POLYNUCLEOTIDE LIGASE [ATP]) (SEALASE) (DNA REPAIR PROTEIN) (DNA JOINASE)
lysS	<I>Rv3598c</I>	Rv3598c	2	LYSYL-TRNA SYNTHETASE 1 LYSS (LYSINE--TRNA LIGASE 1) (LYSRS 1) (LYSINE TRANSLASE)
lysX	<I>Rv1640c</I>	Rv1640c	2	Possible lysyl-tRNA synthetase 2 lysX
metS	<I>Rv1007c</I>	Rv1007c	2	PROBABLE METHIONYL-TRNA SYNTHETASE METS (MetRS) (Methionine--tRNA ligase)
mfd	<I>trcF</I>, <I>Rv1020</I>	Rv1020	2	PROBABLE TRANSCRIPTION-REPAIR COUPLING FACTOR MFD (TRCF)
mihF	<I>Rv1388</I>	Rv1388	2	PUTATIVE INTEGRATION HOST FACTOR MIHF
mpg	<I>Rv1688</I>	Rv1688	2	POSSIBLE 3-METHYLADENINE DNA GLYCOSYLASE MPG
mrr	<I>Rv2528c</I>	Rv2528c	2	PROBABLE RESTRICTION SYSTEM PROTEIN MRR
mutT1	<I>Rv2985</I>	Rv2985	2	POSSIBLE HYDROLASE MUTT1
mutT2	<I>Rv1160</I>	Rv1160	2	PROBABLE MUTATOR PROTEIN MUTT (7,8-dihydro-8-oxoguanine-triphosphatase) (8-OXO-DGTPASE)
mutT3	<I>Rv0413</I>	Rv0413	2	POSSIBLE MUTATOR PROTEIN MUTT3 (7,8-DIHYDRO-8-OXOGUANINE-TRIPHOSPHATASE) (8-OXO-DGTPASE) (DGTP PYROPHOSPHOHYDROLASE)
mutY	<I>Rv3589</I>	Rv3589	2	PROBABLE ADENINE GLYCOSYLASE MUTY
nei	<I>Rv3297</I>	Rv3297	2	PROBABLE ENDONUCLEASE VIII NEI
nrdB	<I>rnrS</I>, <I>Rv0233</I>	Rv0233	2	PROBABLE RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE (BETA CHAIN) NRDB (RIBONUCLEOTIDE REDUCTASE SMALL CHAIN)
nrdE	<I>Rv3051c</I>	Rv3051c	2	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE (ALPHA CHAIN) NRDE (RIBONUCLEOTIDE REDUCTASE SMALL SUBUNIT) (R1F PROTEIN)
nrdF1	<I>nrdF</I>, <I>Rv1981c</I>	Rv1981c	2	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE (BETA CHAIN) NRDF1 (RIBONUCLEOTIDE REDUCTASE SMALL SUBUNIT) (R2F PROTEIN)
nrdF2	<I>nrdG</I>, <I>Rv3048c</I>	Rv3048c	2	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE (BETA CHAIN) NRDF2 (RIBONUCLEOTIDE REDUCTASE SMALL SUBUNIT) (R2F PROTEIN)
nrdH	<I>Rv3053c</I>	Rv3053c	2	PROBABLE GLUTAREDOXIN ELECTRON TRANSPORT COMPONENT OF NRDEF (GLUTAREDOXIN-LIKE PROTEIN) NRDH
nrdI	<I>Rv3052c</I>	Rv3052c	2	PROBABLE NRDI PROTEIN
nrdZ	<I>Rv0570</I>	Rv0570	2	PROBABLE RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE (LARGE SUBUNIT) NRDZ (RIBONUCLEOTIDE REDUCTASE)
nth	<I>Rv3674c</I>	Rv3674c	2	PROBABLE ENDONUCLEASE III NTH (DNA-(APURINIC OR APYRIMIDINIC SITE)LYASE) (AP LYASE) (AP ENDONUCLEASE CLASS I) (ENDODEOXYRIBONUCLEASE (APURINIC OR APYRIMIDINIC)) (DEOXYRIBONUCLEASE (APURINIC OR APYRIMIDINIC))
nusA	<I>Rv2841c</I>	Rv2841c	2	PROBABLE N UTILIZATION SUBSTANCE PROTEIN A NUSA
nusB	<I>Rv2533c</I>	Rv2533c	2	N UTILIZATION SUBSTANCE PROTEIN NUSB (NUSB PROTEIN)
nusG	<I>Rv0639</I>	Rv0639	2	PROBABLE TRANSCRIPTION ANTITERMINATION PROTEIN NUSG
ogt	<I>Rv1316c</I>	Rv1316c	2	PROBABLE METHYLATED-DNA--PROTEIN-CYSTEINE METHYLTRANSFERASE OGT (6-O-methylguanine-DNA methyltransferase) (O-6-methylguanine-DNA-alkyltransferase)
pcnA	<I>Rv3907c</I>	Rv3907c	2	PROBABLE POLY(A) POLYMERASE PCNA (POLYNUCLEOTIDE ADENYLYLTRANSFERASE) (NTP POLYMERASE) (RNA ADENYLATING ENZYME) (POLY(A) POLYMERASE)
pheS	<I>Rv1649</I>	Rv1649	2	Probable phenylalanyl-tRNA synthetase, alpha chain PheS
pheT	<I>Rv1650</I>	Rv1650	2	Probable phenylalanyl-tRNA synthetase, beta chain PheT
polA	<I>Rv1629</I>	Rv1629	2	PROBABLE DNA POLYMERASE I POLA
ppiA	<I>cfp22</I>, <I>Rv0009</I>	Rv0009	2	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A)
ppiB	<I>ppi</I>, <I>Rv2582</I>	Rv2582	2	PROBABLE PEPTIDYL-PROLYL CIS-TRANS ISOMERASE B PPIB (CYCLOPHILIN) (PPIASE) (ROTAMASE) (PEPTIDYLPROLYL ISOMERASE)
prfA	<I>Rv1299</I>	Rv1299	2	PROBABLE PEPTIDE CHAIN RELEASE FACTOR 1 PRFA (RF-1)
prfB	<I>Rv3105c</I>	Rv3105c	2	PROBABLE PEPTIDE CHAIN RELEASE FACTOR 2 PRFB (RF-2)
priA	<I>Rv1402</I>	Rv1402	2	PUTATIVE PRIMOSOMAL PROTEIN N' PRIA (Replication factor Y)
proS	<I>Rv2845c</I>	Rv2845c	2	PROBABLE PROLYL-TRNA SYNTHETASE PROS (PROLINE--TRNA LIGASE) (PRORS) (GLOBAL RNA SYNTHESIS FACTOR) (PROLINE TRANSLASE)
pvdS	<I>Rv3232c</I>	Rv3232c	2	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN PVDS (PROBABLE RNA POLYMERASE SIGMA FACTOR)
radA	<I>Rv3585</I>	Rv3585	2	DNA REPAIR PROTEIN RADA (DNA REPAIR PROTEIN SMS)
rbfA	<I>Rv2838c</I>	Rv2838c	2	PROBABLE RIBOSOME-BINDING FACTOR A RBFA (P15B PROTEIN)
recA	<I>Rv2737c</I>	Rv2737c	2	RECA PROTEIN (RECOMBINASE A) [CONTAINS: ENDONUCLEASE PI-MTUI (MTU RECA INTEIN)].
recB	<I>Rv0630c</I>	Rv0630c	2	PROBABLE EXONUCLEASE V (BETA CHAIN) RECB (EXODEOXYRIBONUCLEASE V BETA CHAIN)(EXODEOXYRIBONUCLEASE V POLYPEPTIDE) (CHI-SPECIFIC ENDONUCLEASE)
recC	<I>Rv0631c</I>	Rv0631c	2	PROBABLE EXONUCLEASE V (GAMMA CHAIN) RECC (EXODEOXYRIBONUCLEASE V GAMMA CHAIN)(EXODEOXYRIBONUCLEASE V POLYPEPTIDE)
recD	<I>Rv0629c</I>	Rv0629c	2	PROBABLE EXONUCLEASE V (ALPHA CHAIN) RECD (EXODEOXYRIBONUCLEASE V ALPHA CHAIN) (EXODEOXYRIBONUCLEASE V POLYPEPTIDE)
recF	<I>Rv0003</I>	Rv0003	2	DNA REPLICATION AND REPAIR PROTEIN RECF (SINGLE-STRAND DNA BINDING PROTEIN)
recG	<I>Rv2973c</I>	Rv2973c	2	PROBABLE ATP-DEPENDENT DNA HELICASE RECG
recN	<I>Rv1696</I>	Rv1696	2	PROBABLE DNA REPAIR PROTEIN RECN (RECOMBINATION PROTEIN N)
recO	<I>Rv2362c</I>	Rv2362c	2	POSSIBLE DNA REPAIR PROTEIN RECO
recR	<I>Rv3715c</I>	Rv3715c	2	PROBABLE RECOMBINATION PROTEIN RECR
recX	<I>Rv2736c</I>	Rv2736c	2	REGULATORY PROTEIN RECX
rhlE	<I>Rv3211</I>	Rv3211	2	PROBABLE ATP-DEPENDENT RNA HELICASE RHLE
rho	<I>Rv1297</I>	Rv1297	2	PROBABLE TRANSCRIPTION TERMINATION FACTOR RHO HOMOLOG
rimI	<I>Rv3420c</I>	Rv3420c	2	RIBOSOMAL-PROTEIN-ALANINE ACETYLTRANSFERASE RIMI (ACETYLATING ENZYME FOR N-TERMINAL OF RIBOSOMAL PROTEIN S18)
rimJ	<I>Rv0995</I>	Rv0995	2	RIBOSOMAL-PROTEIN-ALANINE ACETYLTRANSFERASE RIMJ (ACETYLATING ENZYME FOR N-TERMINAL OF RIBOSOMAL PROTEIN S5)
rimM	<I>Rv2907c</I>	Rv2907c	2	PROBABLE 16S RRNA PROCESSING PROTEIN RIMM
rnc	<I>Rv2925c</I>	Rv2925c	2	PROBABLE RIBONUCLEASE III RNC (RNASE III)
rne	<I>Rv2444c</I>	Rv2444c	2	POSSIBLE RIBONUCLEASE E RNE
rnhB	<I>Rv2902c</I>	Rv2902c	2	PROBABLE RIBONUCLEASE HII PROTEIN RNHB (RNASE HII)
rnpA	<I>Rv3923c</I>	Rv3923c	2	RIBONUCLEASE P PROTEIN COMPONENT RNPA (RNaseP PROTEIN) (RNase P PROTEIN) (PROTEIN C5)
rphA	<I>Rv1340</I>	Rv1340	2	PROBABLE RIBONUCLEASE RPHA (RNase PH) (tRNA nucleotidyltransferase)
rplA	<I>Rv0641</I>	Rv0641	2	PROBABLE 50S RIBOSOMAL PROTEIN L1 RPLA
rplB	<I>Rv0704</I>	Rv0704	2	PROBABLE 50S ribosomal protein L2 RPLB
rplC	<I>Rv0701</I>	Rv0701	2	PROBABLE 50S RIBOSOMAL PROTEIN L3 RPLC
rplD	<I>Rv0702</I>	Rv0702	2	PROBABLE 50S RIBOSOMAL PROTEIN L4 RPLD
rplE	<I>Rv0716</I>	Rv0716	2	PROBABLE 50S RIBOSOMAL PROTEIN L5 RPLE
rplF	<I>Rv0719</I>	Rv0719	2	PROBABLE 50S RIBOSOMAL PROTEIN L6 RPLF
rplI	<I>Rv0056</I>	Rv0056	2	PROBABLE 50S RIBOSOMAL PROTEIN L9 RPLI
rplJ	<I>Rv0651</I>	Rv0651	2	PROBABLE 50S RIBOSOMAL PROTEIN L10 RPLJ
rplK	<I>Rv0640</I>	Rv0640	2	PROBABLE 50S RIBOSOMAL PROTEIN L11 RPLK
rplL	<I>L7|L12</I>, <I>Rv0652</I>	Rv0652	2	PROBABLE 50S RIBOSOMAL PROTEIN L7/L12 RPLL (SA1)
rplM	<I>Rv3443c</I>	Rv3443c	2	PROBABLE 50S RIBOSOMAL PROTEIN L13 RPLM
rplN	<I>Rv0714</I>	Rv0714	2	PROBABLE 50S RIBOSOMAL PROTEIN L14 RPLN
rplO	<I>Rv0723</I>	Rv0723	2	PROBABLE 50S RIBOSOMAL PROTEIN L15 RPLO
rplP	<I>Rv0708</I>	Rv0708	2	PROBABLE 50S RIBOSOMAL PROTEIN L16 RPLP
rplQ	<I>Rv3456c</I>	Rv3456c	2	PROBABLE 50S RIBOSOMAL PROTEIN L17 RPLQ
rplR	<I>Rv0720</I>	Rv0720	2	PROBABLE 50S RIBOSOMAL PROTEIN L18 RPLR
rplS	<I>Rv2904c</I>	Rv2904c	2	PROBABLE 50S RIBOSOMAL PROTEIN L19 RPLS
rplT	<I>Rv1643</I>	Rv1643	2	Probable 50S ribosomal protein L20 RplT
rplU	<I>Rv2442c</I>	Rv2442c	2	PROBABLE 50S RIBOSOMAL PROTEIN L21 RPLU
rplV	<I>Rv0706</I>	Rv0706	2	PROBABLE 50S RIBOSOMAL PROTEIN L22 RPLV
rplW	<I>Rv0703</I>	Rv0703	2	PROBABLE 50S RIBOSOMAL PROTEIN L23 RPLW
rplX	<I>Rv0715</I>	Rv0715	2	PROBABLE 50S RIBOSOMAL PROTEIN L24 RPLX
rplY	<I>Rv1015c</I>	Rv1015c	2	PROBABLE 50S RIBOSOMAL PROTEIN L25 RPLY
rpmA	<I>Rv2441c</I>	Rv2441c	2	PROBABLE 50S RIBOSOMAL PROTEIN L27 RPMA
rpmB1	<I>Rv0105c</I>	Rv0105c	2	PROBABLE 50S RIBOSOMAL PROTEIN L28-1 RPMB1
rpmB2	<I>Rv2058c</I>	Rv2058c	2	Probable 50S ribosomal protein L28 RpmB2
rpmC	<I>Rv0709</I>	Rv0709	2	PROBABLE 50S RIBOSOMAL PROTEIN L29 RPMC
rpmD	<I>Rv0722</I>	Rv0722	2	PROBABLE 50S RIBOSOMAL PROTEIN L30 RPMD
rpmE	<I>Rv1298</I>	Rv1298	2	PROBABLE 50S RIBOSOMAL PROTEIN L31 RPME
rpmF	<I>Rv0979A</I>	Rv0979A	2	PROBABLE 50S RIBOSOMAL PROTEIN L32 RPMF
rpmG1	<I>rpmG</I>, <I>Rv2057c</I>	Rv2057c	2	Probable ribosomal protein L33
rpmH	<I>Rv3924c</I>	Rv3924c	2	50S RIBOSOMAL PROTEIN L34 RPMH
rpmI	<I>Rv1642</I>	Rv1642	2	Probable 50S ribosomal protein L35 RpmI
rpmJ	<I>Rv3461c</I>	Rv3461c	2	PROBABLE 50S RIBOSOMAL PROTEIN L36 RPMJ
rpoA	<I>Rv3457c</I>	Rv3457c	2	PROBABLE DNA-DIRECTED RNA POLYMERASE (ALPHA CHAIN) RPOA (TRANSCRIPTASE ALPHA CHAIN) (RNA POLYMERASE ALPHA SUBUNIT) (DNA-DIRECTED RNA NUCLEOTIDYLTRANSFERASE)
rpoB	<I>Rv0667</I>	Rv0667	2	DNA-DIRECTED RNA POLYMERASE (BETA CHAIN) RPOB (TRANSCRIPTASE BETA CHAIN) (RNA POLYMERASE BETA SUBUNIT)
rpoC	<I>Rv0668</I>	Rv0668	2	DNA-DIRECTED RNA POLYMERASE (BETA' CHAIN) RPOC (TRANSCRIPTASE BETA' CHAIN) (RNA POLYMERASE BETA' SUBUNIT).
rpoZ	<I>Rv1390</I>	Rv1390	2	PROBABLE DNA-DIRECTED RNA POLYMERASE (OMEGA CHAIN) RPOZ (TRANSCRIPTASE OMEGA CHAIN) (RNA POLYMERASE OMEGA SUBUNIT)
rpsA	<I>Rv1630</I>	Rv1630	2	PROBABLE RIBOSOMAL PROTEIN S1 RPSA
rpsB	<I>Rv2890c</I>	Rv2890c	2	PROBABLE 30S RIBOSOMAL PROTEIN S2 RPSB
rpsC	<I>Rv0707</I>	Rv0707	2	PROBABLE 30S RIBOSOMAL PROTEIN S3 RPSC
rpsD	<I>Rv3458c</I>	Rv3458c	2	PROBABLE 30S RIBOSOMAL PROTEIN S4 RPSD
rpsE	<I>Rv0721</I>	Rv0721	2	PROBABLE 30S RIBOSOMAL PROTEIN S5 RPSE
rpsF	<I>Rv0053</I>	Rv0053	2	PROBABLE 30S RIBOSOMAL PROTEIN S6 RPSF
rpsG	<I>Rv0683</I>	Rv0683	2	PROBABLE 30S RIBOSOMAL PROTEIN S7 RPSG
rpsH	<I>Rv0718</I>	Rv0718	2	PROBABLE 30S RIBOSOMAL PROTEIN S8 RPSH
rpsI	<I>Rv3442c</I>	Rv3442c	2	PROBABLE 30S RIBOSOMAL PROTEIN S9 RPSI
rpsJ	<I>nusE</I>, <I>Rv0700</I>	Rv0700	2	30S RIBOSOMAL PROTEIN S10 RPSJ (TRANSCRIPTION ANTITERMINATION FACTOR NUSE)
rpsK	<I>Rv3459c</I>	Rv3459c	2	PROBABLE 30S RIBOSOMAL PROTEIN S11 RPSK
rpsL	<I>Rv0682</I>	Rv0682	2	PROBABLE 30S RIBOSOMAL PROTEIN S12 RPSL
rpsM	<I>Rv3460c</I>	Rv3460c	2	PROBABLE 30S RIBOSOMAL PROTEIN S13 RPSM
rpsN1	<I>rpsN</I>, <I>Rv0717</I>	Rv0717	2	PROBABLE 30S RIBOSOMAL PROTEIN S14 RPSN1
rpsN2	<I>Rv2056c</I>	Rv2056c	2	Probable ribosomal protein S14 RpsN2
rpsO	<I>Rv2785c</I>	Rv2785c	2	PROBABLE 30S RIBOSOMAL PROTEIN S15 RPSO
rpsP	<I>Rv2909c</I>	Rv2909c	2	PROBABLE 30S RIBOSOMAL PROTEIN S16 RPSP
rpsQ	<I>Rv0710</I>	Rv0710	2	PROBABLE 30S RIBOSOMAL PROTEIN S17 RPSQ
rpsR1	<I>rpsR</I>, <I>Rv0055</I>	Rv0055	2	PROBABLE 30S RIBOSOMAL PROTEIN S18-1 RPSR1
rpsR2	<I>Rv2055c</I>	Rv2055c	2	Probable ribosomal protein S18 RpsR2
rpsS	<I>Rv0705</I>	Rv0705	2	PROBABLE 30S RIBOSOMAL PROTEIN S19 RPSS
rpsT	<I>Rv2412</I>	Rv2412	2	PROBABLE 30S RIBOSOMAL PROTEIN S20 RPST
rsbW	<I>usfX</I>, <I>Rv3287c</I>	Rv3287c	2	ANTI-SIGMA FACTOR RSBW (SIGMA NEGATIVE EFFECTOR)
rsfA	<I>Rv1365c</I>	Rv1365c	2	ANTI-ANTI-SIGMA FACTOR RSFA (ANTI-SIGMA FACTOR ANTAGONIST) (REGULATOR OF SIGMA F A)
rsfB	<I>Rv3687c</I>	Rv3687c	2	ANTI-ANTI-SIGMA FACTOR RSFB (ANTI-SIGMA FACTOR ANTAGONIST) (REGULATOR OF SIGMA F B)
ruvA	<I>Rv2593c</I>	Rv2593c	2	PROBABLE HOLLIDAY JUNCTION DNA HELICASE RUVA
ruvB	<I>Rv2592c</I>	Rv2592c	2	PROBABLE HOLLIDAY JUNCTION DNA HELICASE RUVB
ruvC	<I>Rv2594c</I>	Rv2594c	2	PROBABLE CROSSOVER JUNCTION ENDODEOXYRIBONUCLEASE RUVC (HOLLIDAY JUNCTION NUCLEASE) (HOLLIDAY JUNCTION RESOLVASE)
Rv0071		Rv0071	2	POSSIBLE MATURASE
Rv0634B		Rv0634B	2	PROBABLE 50S RIBOSOMAL PROTEIN L33 RPMG2
Rv0944		Rv0944	2	POSSIBLE FORMAMIDOPYRIMIDINE-DNA GLYCOSYLASE (FAPY-DNA GLYCOSYLASE)
Rv1700		Rv1700	2	Nudix hydrolase
Rv2090		Rv2090	2	Probable 5'-3' exonuclease
Rv2191		Rv2191	2	CONSERVED HYPOTHETICAL PROTEIN
Rv2464c		Rv2464c	2	POSSIBLE DNA GLYCOSYLASE
Rv3201c		Rv3201c	2	PROBABLE ATP-DEPENDENT DNA HELICASE
Rv3202c		Rv3202c	2	POSSIBLE ATP-DEPENDENT DNA HELICASE
Rv3204		Rv3204	2	POSSIBLE DNA-METHYLTRANSFERASE (MODIFICATION METHYLASE)
Rv3221A		Rv3221A	2	POSSIBLE ANTI-SIGMA FACTOR
