Gene name	Synonym	Accession number	Functional category	Description
ask	<I>Rv3709c</I>	Rv3709c	7	ASPARTOKINASE ASK (ASPARTATE KINASE) [CONTAINS: ASPARTOKINASE ALPHA SUBUNIT (ASK-ALPHA); AND ASPARTOKINASE BETA SUBUNIT (ASK-BETA)]
asnB	<I>Rv2201</I>	Rv2201	7	Probable asparagine synthetase AsnB
aspB	<I>Rv3565</I>	Rv3565	7	POSSIBLE ASPARTATE AMINOTRANSFERASE ASPB (TRANSAMINASE A) (ASPAT) (GLUTAMIC--OXALOACETIC TRANSAMINASE) (GLUTAMIC--ASPARTIC TRANSAMINASE)
aspC	<I>Rv0337c</I>	Rv0337c	7	PROBABLE ASPARTATE AMINOTRANSFERASE ASPC (TRANSAMINASE A) (ASPAT)
atpA	<I>Rv1308</I>	Rv1308	7	PROBABLE ATP SYNTHASE ALPHA CHAIN ATPA
atpB	<I>Rv1304</I>	Rv1304	7	PROBABLE ATP SYNTHASE A CHAIN ATPB (PROTEIN 6)
atpC	<I>Rv1311</I>	Rv1311	7	PROBABLE ATP SYNTHASE EPSILON CHAIN ATPC
atpD	<I>Rv1310</I>	Rv1310	7	PROBABLE ATP SYNTHASE BETA CHAIN ATPD
atpE	<I>Rv1305</I>	Rv1305	7	PROBABLE ATP SYNTHASE C CHAIN ATPE (LIPID-BINDING PROTEIN) (DICYCLOHEXYLCARBODIIMIDE-BINDING PROTEIN)
atpF	<I>Rv1306</I>	Rv1306	7	PROBABLE ATP SYNTHASE B CHAIN ATPF
atpG	<I>Rv1309</I>	Rv1309	7	PROBABLE ATP SYNTHASE GAMMA CHAIN ATPG
atpH	<I>Rv1307</I>	Rv1307	7	PROBABLE ATP SYNTHASE DELTA CHAIN ATPH
atsA	<I>Rv0711</I>	Rv0711	7	POSSIBLE ARYLSULFATASE ATSA (ARYL-SULFATE SULPHOHYDROLASE) (ARYLSULPHATASE)
atsB	<I>Rv3299c</I>	Rv3299c	7	PROBABLE ARYLSULFATASE ATSB (ARYL-SULFATE SULPHOHYDROLASE) (SULFATASE)
atsD	<I>Rv0663</I>	Rv0663	7	POSSIBLE ARYLSULFATASE ATSD (ARYL-SULFATE SULPHOHYDROLASE) (ARYLSULPHATASE)
bfrA	<I>bfr</I>, <I>Rv1876</I>	Rv1876	7	PROBABLE BACTERIOFERRITIN BFRA
bfrB	<I>Rv3841</I>	Rv3841	7	POSSIBLE BACTERIOFERRITIN BFRB
bglS	<I>Rv0186</I>	Rv0186	7	PROBABLE BETA-GLUCOSIDASE BGLS (GENTIOBIASE) (CELLOBIASE) (BETA-D-GLUCOSIDE GLUCOHYDROLASE)
bioA	<I>Rv1568</I>	Rv1568	7	PROBABLE ADENOSYLMETHIONINE-8-AMINO-7-OXONONANOATE AMINOTRANSFERASE BIOA
bioB	<I>Rv1589</I>	Rv1589	7	PROBABLE BIOTIN SYNTHETASE BIOB
bioD	<I>Rv1570</I>	Rv1570	7	Probable dethiobiotin synthetase bioD
bioF1	<I>Rv1569</I>	Rv1569	7	PROBABLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF1 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE)
bioF2	<I>Rv0032</I>	Rv0032	7	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE)
birA	<I>Rv3279c</I>	Rv3279c	7	POSSIBLE BIFUNCTIONAL PROTEIN BIRA: BIOTIN OPERON REPRESSOR + BIOTIN--[ACETYL-COA-CARBOXYLASE] SYNTHETASE (BIOTIN--PROTEIN LIGASE)
bisC	<I>Rv1442</I>	Rv1442	7	PROBABLE BIOTIN SULFOXIDE REDUCTASE BISC (BDS reductase) (BSO reductase)
blaC	<I>Rv2068c</I>	Rv2068c	7	CLASS A BETA-LACTAMASE BLAC
canA	<I>Rv1284</I>	Rv1284	7	BETA-CARBONIC ANHYDRASE
canB	<I>Rv3588c</I>	Rv3588c	7	
carA	<I>Rv1383</I>	Rv1383	7	PROBABLE CARBAMOYL-PHOSPHATE SYNTHASE SMALL CHAIN CARA (Carbamoyl-phosphate synthetase glutamine chain)
carB	<I>Rv1384</I>	Rv1384	7	PROBABLE CARBAMOYL-PHOSPHATE SYNTHASE LARGE CHAIN CARB (Carbamoyl-phosphate synthetase ammonia chain)
cbs	<I>cysM2</I>, <I>Rv1077</I>	Rv1077	7	Probable cystathionine beta-synthase CBS (Serine sulfhydrase) (Beta-thionase) (Hemoprotein H-450)
ccdA	<I>ccsA</I>, <I>Rv0527</I>	Rv0527	7	POSSIBLE CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCDA
ccsA	<I>ccsB</I>, <I>Rv0529</I>	Rv0529	7	POSSIBLE CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCSA
cdd	<I>Rv3315c</I>	Rv3315c	7	PROBABLE CYTIDINE DEAMINASE CDD (CYTIDINE AMINOHYDROLASE) (CYTIDINE NUCLEOSIDE DEAMINASE)
celA1	<I>celA</I>, <I>Rv0062</I>	Rv0062	7	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE)
celA2a	<I>Rv1089A</I>	Rv1089A	7	PROBABLE CELLULASE CELA2A (ENDO-1,4-BETA-GLUCANASE) (ENDOGLUCANASE) (CARBOXYMETHYL CELLULASE)
celA2b	<I>Rv1090</I>	Rv1090	7	PROBABLE CELLULASE CELA2B (ENDO-1,4-BETA-GLUCANASE) (ENDOGLUCANASE) (CARBOXYMETHYL CELLULASE)
citA	<I>gltA</I>, <I>Rv0889c</I>	Rv0889c	7	PROBABLE CITRATE SYNTHASE II CITA
citE	<I>Rv2498c</I>	Rv2498c	7	PROBABLE CITRATE (PRO-3S)-LYASE (BETA SUBUNIT) CITE (CITRASE) (CITRATASE) (CITRITASE) (CITRIDESMOLASE) (CITRASE ALDOLASE)
clpC1	<I>clpC</I>, <I>Rv3596c</I>	Rv3596c	7	PROBABLE ATP-DEPENDENT PROTEASE ATP-BINDING SUBUNIT CLPC1
clpC2	<I>clpX'</I>, <I>Rv2667</I>	Rv2667	7	POSSIBLE ATP-DEPENDENT PROTEASE ATP-BINDING SUBUNIT CLPC2
clpP1	<I>clp</I>, <I>Rv2461c</I>	Rv2461c	7	PROBABLE ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT 1 CLPP1 (ENDOPEPTIDASE CLP)
clpP2	<I>Rv2460c</I>	Rv2460c	7	PROBABLE ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT 2 CLPP2 (ENDOPEPTIDASE CLP 2)
clpX	<I>Rv2457c</I>	Rv2457c	7	PROBABLE ATP-DEPENDENT CLP PROTEASE ATP-BINDING SUBUNIT CLPX
cmk	<I>Rv1712</I>	Rv1712	7	Probable Cytidylate kinase cmk (CMP kinase) (Cytidine monophosphate kinase) (CK)
coaA	<I>Rv1092c</I>	Rv1092c	7	Probable pantothenate kinase coaA (Pantothenic acid kinase)
coaE	<I>Rv1631</I>	Rv1631	7	Probable dephospho-CoA kinase coaE (dephosphocoenzyme A kinase)
cobB	<I>Rv2848c</I>	Rv2848c	7	PROBABLE COBYRINIC ACID A,C-DIAMIDE SYNTHASE COBB
cobC	<I>Rv2231c</I>	Rv2231c	7	Possible aminotransferase CobC
cobD	<I>Rv2236c</I>	Rv2236c	7	Probable cobalamin biosynthesis transmembrane protein CobD
cobG	<I>Rv2064</I>	Rv2064	7	Possible cobalamin biosynthesis protein CobG
cobH	<I>Rv2065</I>	Rv2065	7	Probable precorrin-8X methylmutase CobH (aka precorrin isomerase)
cobI	<I>Rv2066</I>	Rv2066	7	Probable bifunctional protein, CobI-CobJ fusion protein: S-adenosyl-L-methionine-precorrin-2 methyl transferase + precorrin-3 methylase
cobK	<I>Rv2070c</I>	Rv2070c	7	Probable precorrin-6X reductase CobK
cobL	<I>Rv2072c</I>	Rv2072c	7	Probable precorrin-6y methyltransferase CobL
cobM	<I>Rv2071c</I>	Rv2071c	7	Probable precorrin-4 C11-methyltransferase CobM
cobN	<I>Rv2062c</I>	Rv2062c	7	Probable cobalamin biosynthesis protein cobN
cobO	<I>cobA</I>, <I>Rv2849c</I>	Rv2849c	7	PROBABLE COB(I)ALAMIN ADENOSYLTRANSFERASE COBO (CORRINOID ADENOSYLTRANSFERASE) (CORRINOID ADOTRANSFERASE ACTIVITY)
cobQ1	<I>cobQ</I>, <I>Rv0255c</I>	Rv0255c	7	PROBABLE COBYRIC ACID SYNTHASE COBQ1
cobQ2	<I>Rv3713</I>	Rv3713	7	POSSIBLE COBYRIC ACID SYNTHASE COBQ2
cobS	<I>Rv2208</I>	Rv2208	7	Probable cobalamin 5'-phosphate synthase CobS
cobT	<I>Rv2207</I>	Rv2207	7	Probablenicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase CobT
cobU	<I>Rv0254c</I>	Rv0254c	7	PROBABLE BIFUNCTIONAL COBALAMIN BIOSYNTHESIS PROTEIN COBU: COBINAMIDE KINASE + COBINAMIDE PHOSPHATE GUANYLYLTRANSFERASE
csd	<I>Rv1464</I>	Rv1464	7	PROBABLE CYSTEINE DESULFURASE CSD
ctaB	<I>Rv1451</I>	Rv1451	7	PROBABLE CYTOCHROME C OXIDASE ASSEMBLY FACTOR CTAB
ctaC	<I>Rv2200c</I>	Rv2200c	7	PROBABLE TRANSMEMBRANE CYTOCHROME C OXIDASE (SUBUNIT II) CTAC
ctaD	<I>Rv3043c</I>	Rv3043c	7	PROBABLE CYTOCHROME C OXIDASE POLYPEPTIDE I CTAD (CYTOCHROME AA3 SUBUNIT 1)
ctaE	<I>Rv2193</I>	Rv2193	7	PROBABLE CYTOCHROME C OXIDASE (SUBUNIT III) CTAE
cya	<I>Rv1625c</I>	Rv1625c	7	MEMBRANE-ANCHORED ADENYLYL CYCLASE CYA (ATP PYROPHOSPHATE-LYASE) (ADENYLATE CYCLASE)
cydA	<I>appC</I>, <I>Rv1623c</I>	Rv1623c	7	Probable integral membrane cytochrome D ubiquinol oxidase (subunit I) cydA (Cytochrome BD-I oxidase subunit I)
cydB	<I>Rv1622c</I>	Rv1622c	7	Probable integral membrane cytochrome D ubiquinol oxidase (subunit II) cydB (Cytochrome BD-I oxidase subunit II)
cydC	<I>Rv1620c</I>	Rv1620c	7	PROBABLE 'COMPONENT LINKED WITH THE ASSEMBLY OF CYTOCHROME' TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER CYDC
cydD	<I>Rv1621c</I>	Rv1621c	7	PROBABLE 'COMPONENT LINKED WITH THE ASSEMBLY OF CYTOCHROME' TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER CYDD
cyp121	<I>Rv2276</I>	Rv2276	7	CYTOCHROME P450 121 CYP121
cyp123	<I>Rv0766c</I>	Rv0766c	7	PROBABLE CYTOCHROME P450 123 CYP123
cyp124	<I>Rv2266</I>	Rv2266	7	Probable cytochrome P450 124 CYP124
cyp125	<I>Rv3545c</I>	Rv3545c	7	PROBABLE CYTOCHROME P450 125 CYP125
cyp126	<I>Rv0778</I>	Rv0778	7	POSSIBLE CYTOCHROME P450 126 CYP126
cyp128	<I>Rv2268c</I>	Rv2268c	7	PROBABLE CYTOCHROME P450 128 CYP128
cyp130	<I>Rv1256c</I>	Rv1256c	7	PROBA BLE CYTOCHROME P450 130 CYP130
cyp132	<I>Rv1394c</I>	Rv1394c	7	PROBABLE CYTOCHROME P450 132 CYP132
cyp135A1	<I>Rv0327c</I>	Rv0327c	7	POSSIBLE CYTOCHROME P450 135A1 CYP135A1
cyp135B1	<I>Rv0568</I>	Rv0568	7	POSSIBLE CYTOCHROME P450 135B1 CYP135B1
cyp136	<I>Rv3059</I>	Rv3059	7	PROBABLE CYTOCHROME P450 136 CYP136
cyp137	<I>Rv3685c</I>	Rv3685c	7	PROBABLE CYTOCHROME P450 137 CYP137
cyp138	<I>Rv0136</I>	Rv0136	7	PROBABLE CYTOCHROME P450 138 CYP138
cyp139	<I>Rv1666c</I>	Rv1666c	7	Probable cytochrome P450 139 CYP139
cyp140	<I>Rv1880c</I>	Rv1880c	7	Probable cytochrome p450 140 CYP140
cyp141	<I>Rv3121</I>	Rv3121	7	PROBABLE CYTOCHROME P450 141 CYP141
cyp142	<I>Rv3518c</I>	Rv3518c	7	PROBABLE CYTOCHROME P450 MONOOXYGENASE 142 CYP142
cyp143	<I>Rv1785c</I>	Rv1785c	7	PROBABLE CYTOCHROME P450 143 CYP143
cyp144	<I>Rv1777</I>	Rv1777	7	Probable cytochrome p450 144 CYP144
cyp51	<I>Rv0764c</I>	Rv0764c	7	CYTOCHROME P450 51 CYP51 (CYPL1) (P450-L1A1) (STEROL 14-ALPHA DEMETHYLASE) (LANOSTEROL 14-ALPHA DEMETHYLASE) (P450-14DM)
cysA2	<I>sseC4</I>, <I>Rv0815c</I>	Rv0815c	7	PROBABLE THIOSULFATE SULFURTRANSFERASE CYSA2 (RHODANESE-LIKE PROTEIN) (THIOSULFATE CYANIDE TRANSSULFURASE) (THIOSULFATE THIOTRANSFERASE)
cysA3	<I>sseC3</I>, <I>Rv3117</I>	Rv3117	7	PROBABLE THIOSULFATE SULFURTRANSFERASE CYSA3 (RHODANESE-LIKE PROTEIN) (THIOSULFATE CYANIDE TRANSSULFURASE) (THIOSULFATE THIOTRANSFERASE)
cysD	<I>Rv1285</I>	Rv1285	7	PROBABLE SULFATE ADENYLYLTRANSFERASE SUBUNIT 2 CYSD
cysE	<I>Rv2335</I>	Rv2335	7	PROBABLE SERINE ACETYLTRANSFERASE CYSE (SAT)
cysG	<I>cysG2</I>, <I>Rv2847c</I>	Rv2847c	7	POSSIBLE MULTIFUNCTIONAL ENZYME SIROHEME SYNTHASE CYSG: UROPORPHYRIN-III C-METHYLTRANSFERASE (UROGEN III METHYLASE) (SUMT) (UROPORPHYRINOGEN III METHYLASE) (UROM) + PRECORRIN-2 OXIDASE + FERROCHELATASE
cysH	<I>Rv2392</I>	Rv2392	7	PROBABLE 3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE REDUCTASE CYSH (PAPS REDUCTASE, THIOREDOXIN DEP.) (PADOPS REDUCTASE) (3'- PHOSPHOADENYLYLSULFATE REDUCTASE) (PAPS SULFOTRANSFERASE)
cysK1	<I>cysK</I>, <I>Rv2334</I>	Rv2334	7	PROBABLE CYSTEINE SYNTHASE A CYSK1 (O-ACETYLSERINE SULFHYDRYLASE A) (O-ACETYLSERINE (THIOL)-LYASE A) (CSASE A)
cysK2	<I>cysM3</I>, <I>Rv0848</I>	Rv0848	7	POSSIBLE CYSTEINE SYNTHASE A CYSK2 (O-ACETYLSERINE SULFHYDRYLASE) (O-ACETYLSERINE (THIOL)-LYASE) (CSASE)
cysM	<I>Rv1336</I>	Rv1336	7	PROBABLE CYSTEINE SYNTHASE B CYSM (CSASE B) (O-acetylserine sulfhydrylase B) (O-acetylserine (Thiol)-lyase B)
cysN	<I>Rv1286</I>	Rv1286	7	PROBABLE BIFUNCTIONAL ENZYME CYSN/CYSC: SULFATE ADENYLTRANSFERASE (SUBUNIT 1) + ADENYLYLSULFATE KINASE
cysQ	<I>Rv2131c</I>	Rv2131c	7	POSSIBLE MONOPHOSPHATASE CYSQ
dapA	<I>Rv2753c</I>	Rv2753c	7	PROBABLE DIHYDRODIPICOLINATE SYNTHASE DAPA (DHDPS) (DIHYDRODIPICOLINATE SYNTHETASE)
dapB	<I>Rv2773c</I>	Rv2773c	7	DIHYDRODIPICOLINATE REDUCTASE DAPB (DHPR)
dapE	<I>Rv1202</I>	Rv1202	7	PROBABLE SUCCINYL-DIAMINOPIMELATE DESUCCINYLASE DAPE
dapF	<I>Rv2726c</I>	Rv2726c	7	PROBABLE DIAMINOPIMELATE EPIMERASE DAPF (DAP EPIMERASE)
dcd	<I>dus</I>, <I>paxA</I>, <I>Rv0321</I>	Rv0321	7	PROBABLE DEOXYCYTIDINE TRIPHOSPHATE DEAMINASE DCD (DCTP DEAMINASE)
deoA	<I>Rv3314c</I>	Rv3314c	7	PROBABLE THYMIDINE PHOSPHORYLASE DEOA (TDRPASE) (PYRIMIDINE PHOSPHORYLASE)
deoC	<I>Rv0478</I>	Rv0478	7	PROBABLE DEOXYRIBOSE-PHOSPHATE ALDOLASE DEOC (PHOSPHODEOXYRIBOALDOLASE) (DEOXYRIBOALDOLASE)
deoD	<I>punA</I>, <I>Rv3307</I>	Rv3307	7	PROBABLE PURINE NUCLEOSIDE PHOSPHORYLASE DEOD (INOSINE PHOSPHORYLASE) (PNP)
devB	<I>Rv1445c</I>	Rv1445c	7	PROBABLE 6-PHOSPHOGLUCONOLACTONASE DEVB (6PGL)
dfp	<I>Rv1391</I>	Rv1391	7	PROBABLE DNA/PANTOTHENATE METABOLISM FLAVOPROTEIN HOMOLOG DFP
dfrA	<I>folA</I>, <I>Rv2763c</I>	Rv2763c	7	DIHYDROFOLATE REDUCTASE DFRA (DHFR) (TETRAHYDROFOLATE DEHYDROGENASE)
dgt	<I>Rv2344c</I>	Rv2344c	7	PROBABLE DEOXYGUANOSINE TRIPHOSPHATE TRIPHOSPHOHYDROLASE DGT (DGTPASE) (DGTP TRIPHOSPHOHYDROLASE)
dhaA	<I>linB</I>, <I>Rv2579</I>	Rv2579	7	POSSIBLE HALOALKANE DEHALOGENASE DHAA (1-CHLOROHEXANE HALIDOHYDROLASE)
dipZ	<I>Rv2874</I>	Rv2874	7	POSSIBLE INTEGRAL MEMBRANE C-TYPE CYTOCHROME BIOGENESIS PROTEIN DIPZ
dlaT	<I>Rv2215</I>	Rv2215	7	DlaT, dihydrolipoamide acyltransferase, E2 component of pyruvate dehydrogenase
dut	<I>Rv2697c</I>	Rv2697c	7	PROBABLE DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE DUT (DUTPASE) (DUTP PYROPHOSPHATASE) (DEOXYURIDINE 5'-TRIPHOSPHATASE) (DUTP DIPHOSPHATASE) (DEOXYURIDINE-TRIPHOSPHATASE)
dxr	<I>Rv2870c</I>	Rv2870c	7	PROBABLE 1-DEOXY-D-XYLULOSE 5-PHOSPHATE REDUCTOISOMERASE DXR (DXP REDUCTOISOMERASE) (1-DEOXYXYLULOSE-5-PHOSPHATE REDUCTOISOMERASE)
dxs1	<I>dxs</I>, <I>Rv2682c</I>	Rv2682c	7	PROBABLE 1-DEOXY-D-XYLULOSE 5-PHOSPHATE SYNTHASE DXS1 (1-DEOXYXYLULOSE-5-PHOSPHATE SYNTHASE) (DXP SYNTHASE) (DXPS)
dxs2	<I>Rv3379c</I>	Rv3379c	7	PROBABLE 1-DEOXY-D-XYLULOSE 5-PHOSPHATE SYNTHASE DXS2 (1-DEOXYXYLULOSE-5-PHOSPHATE SYNTHASE) (DXP SYNTHASE) (DXPS)
engA	<I>Rv1713</I>	Rv1713	7	PROBABLE GTP-BINDING PROTEIN ENGA
eno	<I>Rv1023</I>	Rv1023	7	PROBABLE ENOLASE ENO
entC	<I>Rv3215</I>	Rv3215	7	PROBABLE ISOCHORISMATE SYNTHASE ENTC (ISOCHORISMATE HYDROXYMUTASE) (ENTEROCHELIN BIOSYNTHESIS)
epiA	<I>Rv1512</I>	Rv1512	7	probable nucleotide-sugar epimerase epiA
era	<I>bex</I>, <I>Rv2364c</I>	Rv2364c	7	PROBABLE GTP-BINDING PROTEIN ERA
ethA	<I>aka</I>, <I>etaA</I>, <I>Rv3854c</I>	Rv3854c	7	MONOOXYGENASE ETHA
fba	<I>fda</I>, <I>Rv0363c</I>	Rv0363c	7	PROBABLE FRUCTOSE-BISPHOSPHATE ALDOLASE FBA
fbiA	<I>Rv3261</I>	Rv3261	7	PROBABLE F420 BIOSYNTHESIS PROTEIN FBIA
fbiB	<I>Rv3262</I>	Rv3262	7	PROBABLE F420 BIOSYNTHESIS PROTEIN FBIB
fbiC	<I>Rv1173</I>	Rv1173	7	PROBABLE F420 BIOSYNTHESIS PROTEIN FBIC
fdhD	<I>Rv2899c</I>	Rv2899c	7	POSSIBLE FDHD PROTEIN HOMOLOG
fdhF	<I>Rv2900c</I>	Rv2900c	7	POSSIBLE FORMATE DEHYDROGENASE H FDHF (FORMATE-HYDROGEN-LYASE-LINKED, SELENOCYSTEINE-CONTAINING POLYPEPTIDE) (FORMATE DEHYDROGENASE-H ALPHA SUBUNIT) (FDH-H)
fdxA	<I>Rv2007c</I>	Rv2007c	7	PROBABLE FERREDOXIN FDXA
fdxB	<I>Rv3554</I>	Rv3554	7	POSSIBLE ELECTRON TRANSFER PROTEIN FDXB
fdxC	<I>Rv1177</I>	Rv1177	7	PROBABLE FERREDOXIN FDXC
fdxD	<I>Rv3503c</I>	Rv3503c	7	PROBABLE FERREDOXIN FDXD
