Gene name	Synonym	Accession number	Functional category	Description
Rv2512c		Rv2512c	5	TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1081
Rv2646		Rv2646	5	PROBABLE INTEGRASE
Rv2647		Rv2647	5	HYPOTHETICAL PROTEIN
Rv2648		Rv2648	5	PROBABLE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv2649		Rv2649	5	PROBABLE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110
Rv2650c		Rv2650c	5	POSSIBLE phiRv2 PROPHAGE PROTEIN
Rv2651c		Rv2651c	5	POSSIBLE phiRv2 PROPHAGE PROTEASE
Rv2652c		Rv2652c	5	PROBABLE phiRv2 PROPHAGE PROTEIN
Rv2653c		Rv2653c	5	POSSIBLE phiRv2 PROPHAGE PROTEIN
Rv2654c		Rv2654c	5	POSSIBLE phiRv2 PROPHAGE PROTEIN
Rv2655c		Rv2655c	5	POSSIBLE phiRv2 PROPHAGE PROTEIN
Rv2656c		Rv2656c	5	POSSIBLE phiRv2 PROPHAGE PROTEIN
Rv2657c		Rv2657c	5	PROBABLE phiRv2 PROPHAGE PROTEIN
Rv2658c		Rv2658c	5	POSSIBLE PROPHAGE PROTEIN
Rv2659c		Rv2659c	5	PROBABLE phiRv2 PROPHAGE INTEGRASE
Rv2666		Rv2666	5	PROBABLE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1081 (FRAGMENT)
Rv2791c		Rv2791c	5	PROBABLE TRANSPOSASE
Rv2792c		Rv2792c	5	POSSIBLE RESOLVASE
Rv2810c		Rv2810c	5	PROBABLE TRANSPOSASE
Rv2812		Rv2812	5	PROBABLE TRANSPOSASE
Rv2814c		Rv2814c	5	PROBABLE TRANSPOSASE
Rv2815c		Rv2815c	5	PROBABLE TRANSPOSASE
Rv2885c		Rv2885c	5	PROBABLE TRANSPOSASE
Rv2886c		Rv2886c	5	PROBABLE RESOLVASE
Rv2943		Rv2943	5	PROBABLE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1533
Rv2943A		Rv2943A	5	POSSIBLE TRANSPOSASE
Rv2944		Rv2944	5	POSSIBLE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1533
Rv2961		Rv2961	5	PROBABLE TRANSPOSASE
Rv2978c		Rv2978c	5	PROBABLE TRANSPOSASE
Rv2979c		Rv2979c	5	PROBABLE RESOLVASE
Rv3023c		Rv3023c	5	PROBABLE TRANSPOSASE
Rv3115		Rv3115	5	PROBABLE TRANSPOSASE
Rv3184		Rv3184	5	PROBABLE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv3185		Rv3185	5	PROBABLE TRANSPOSASE
Rv3186		Rv3186	5	PROBABLE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv3187		Rv3187	5	PROBABLE TRANSPOSASE
Rv3191c		Rv3191c	5	PROBABLE TRANSPOSASE
Rv3325		Rv3325	5	PROBABLE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv3326		Rv3326	5	PROBABLE TRANSPOSASE
Rv3327		Rv3327	5	PROBABLE TRANSPOSASE FUSION PROTEIN
Rv3348		Rv3348	5	PROBABLE TRANSPOSASE
Rv3349c		Rv3349c	5	PROBABLE TRANSPOSASE
Rv3380c		Rv3380c	5	PROBABLE TRANSPOSASE
Rv3381c		Rv3381c	5	PROBABLE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT)
Rv3386		Rv3386	5	POSSIBLE TRANSPOSASE
Rv3387		Rv3387	5	POSSIBLE TRANSPOSASE
Rv3427c		Rv3427c	5	POSSIBLE TRANSPOSASE
Rv3428c		Rv3428c	5	POSSIBLE TRANSPOSASE
Rv3430c		Rv3430c	5	POSSIBLE TRANSPOSASE
Rv3431c		Rv3431c	5	POSSIBLE TRANSPOSASE (FRAGMENT)
Rv3466		Rv3466	5	CONSERVED HYPOTHETICAL PROTEIN
Rv3467		Rv3467	5	CONSERVED HYPOTHETICAL PROTEIN
Rv3474		Rv3474	5	POSSIBLE TRANSPOSASE FOR INSERTION ELEMENT IS6110 (FRAGMENT)
Rv3475		Rv3475	5	POSSIBLE TRANSPOSASE FOR INSERTION ELEMENT IS6110 [SECOND PART]
Rv3636		Rv3636	5	POSSIBLE TRANSPOSASE
Rv3637		Rv3637	5	POSSIBLE TRANSPOSASE
Rv3638		Rv3638	5	POSSIBLE TRANSPOSASE
Rv3640c		Rv3640c	5	PROBABLE TRANSPOSASE
Rv3750c		Rv3750c	5	POSSIBLE EXCISIONASE
Rv3751		Rv3751	5	PROBABLE INTEGRASE (FRAGMENT)
Rv3770A		Rv3770A	5	PROBABLE REMNANT OF A TRANSPOSASE
Rv3770B		Rv3770B	5	PROBABLE REMNANT OF A TRANSPOSASE
Rv3798		Rv3798	5	PROBABLE TRANSPOSASE
Rv3827c		Rv3827c	5	POSSIBLE TRANSPOSASE
Rv3828c		Rv3828c	5	POSSIBLE RESOLVASE
Rv3844		Rv3844	5	POSSIBLE TRANSPOSASE
xerC	<I>Rv2894c</I>	Rv2894c	5	PROBABLE INTEGRASE/RECOMBINASE XERC
